airport,airport_to,dep_delay
JFK,SWF,-10.5
JFK,MYR,0.0
JFK,ABQ,0.0
JFK,ISP,0.0
JFK,ANC,0.0
JFK,UCA,1.91701244813
JFK,BGR,3.21028037383
JFK,BQN,3.60622761091
JFK,CHS,4.40271055179
JFK,STT,4.50210682155
SEA,EUG,0.0
SEA,PIH,1.0
SEA,PSC,2.65051903114
SEA,CVG,3.8787445578
SEA,MEM,4.26022369801
SEA,CLE,5.17016949153
SEA,BLI,5.19824913369
SEA,YKM,5.37964774951
SEA,SNA,5.40625079405
SEA,LIH,5.48108108108
BOS,SWF,-5.0
BOS,ONT,-3.0
BOS,GGG,1.0
BOS,AUS,1.20870767104
BOS,LGA,3.05401785714
BOS,MSY,3.2464678179
BOS,LGB,5.13617677287
BOS,OAK,5.78321003538
BOS,MDW,5.89563753682
BOS,BDL,5.98270484831
CMH,SYR,-5.0
CMH,AUS,-5.0
CMH,OMA,-5.0
CMH,MSN,1.0
CMH,CLE,1.10498687664
CMH,SDF,1.35294117647
CMH,CAK,3.70039421813
CMH,SLC,3.93928571429
CMH,MEM,4.15202156334
CMH,IAD,4.15810344828
SRQ,EYW,0.0
SRQ,TPA,1.32885132539
SRQ,IAH,1.44455747711
SRQ,MEM,1.70295983087
SRQ,FLL,2.0
SRQ,BNA,2.06231454006
SRQ,MCO,2.36453769887
SRQ,RDU,2.53540070988
SRQ,MDW,2.83812355467
SRQ,CLT,3.35836354221
